Data Info 1,Data info 2
7.5475,5.4539
7.6566,6.9238
7.7658,5.7057
7.8750,6.7388
7.9841,7.8180
8.0933,4.2539
8.2024,6.8831
8.3116,7.0926
8.4207,5.8229
8.5299,5.9972
8.6390,3.8092
8.7482,4.9047
8.8573,4.4378
8.9665,5.3197
9.0757,4.0557
9.1848,6.3806
9.2940,5.2179
9.4031,3.7666
9.5123,3.0517
9.6214,3.2393
9.7306,6.0779
9.8397,4.7556
9.9489,6.0167
10.0580,4.1584
10.1672,3.5351
10.2763,4.7666
10.3855,3.7760
10.4947,2.6480
10.6038,5.5376
10.7130,1.9086
10.8221,5.0478
10.9313,4.9752
11.0404,4.7661
11.1496,4.2004
11.2587,2.8879
11.3679,2.8222
11.4770,2.2020
11.5862,2.8957
11.6954,4.6005
11.8045,4.0055
11.9137,3.5838
12.0228,4.2368
12.1320,2.1052
12.2411,0.8504
12.3503,3.2912
12.4594,2.5178
12.5686,0.6497
12.6777,2.8865
12.7869,0.9233
12.8961,2.0042
